video_id,title,description,tags
1,"Top 5 tech gadgets","Discover the top 5 tech gadgets of the year.","tech,gadgets,electronics"
2,"Top 10 travel destinations","Discover the top 10 travel destinations around the world.","travel,adventure,destinations"
3,"Top 10 hiking trails","Discover the top 10 hiking trails around the world.","travel,adventure,hiking"
4,"How to learn a new language","Learn how to learn a new language quickly and effectively.","language,learning,education"
5,"How to make a pizza","Learn how to make a delicious pizza from scratch.","food,cooking,pizza"
6,"How to cook a perfect steak","Learn how to cook a perfect steak.","food,cooking,steak"
7,"Best books of the year","Find out the best books of the year.","books,reading,literature"
8,"How to start a business","Learn how to start a business from scratch.","business,entrepreneurship,success"
9,"Top 10 health tips","Discover the top 10 health tips for a healthy lifestyle.","health,fitness,nutrition"
10,"How to play the guitar","Learn how to play the guitar from scratch.","music,instrument,guitar"
11,"How to make a cake","Learn how to make a delicious cake from scratch.","food,cooking,baking"
12,"Best movies of the year","Find out the best movies of the year.","movies,entertainment,cinema"
13,"Best video games of the year","Find out the best video games of the year.","games,entertainment,video games"
14,"How to start a blog","Learn how to start a blog from scratch.","blogging,online presence,website"
15,"Top 5 home decor trends","Discover the top 5 home decor trends of the year.","home decor,design,interior design"
16,"How to learn a new language quickly","Learn how to learn a new language quickly and effectively.","language,learning,education"
17,"Top 10 national parks","Discover the top 10 national parks in the world.","travel,adventure,national parks"
18,"Best books for beginners","Find out the best books for beginners in various fields.","books,reading,beginners"
19,"How to start a business online","Learn how to start a business online from scratch.","business,entrepreneurship,online business"
20,"Top 5 tech gadgets for beginners","Discover the top 5 tech gadgets for beginners.","tech,gadgets,electronics"
21,"How to cook a perfect chicken","Learn how to cook a perfect chicken.","food,cooking,chicken"
22,"Top 10 travel destinations for couples","Discover the top 10 travel destinations for couples.","travel,adventure,couples"
23,"Best movies for kids","Find out the best movies for kids.","movies,entertainment,kids"
24,"How to start a YouTube channel","Learn how to start a YouTube channel from scratch.","YouTube,video production,online presence"
25,"Top 5 home organization tips","Discover the top 5 home organization tips.","home organization,decluttering,productivity"
26,"How to learn a new skill quickly","Learn how to learn a new skill quickly and effectively.","learning,education,skills"
27,"Top 10 national parks in the US","Discover the top 10 national parks in the US.","travel,adventure,national parks"
28,"Best books for self-improvement","Find out the best books for self-improvement.","books,reading,self-improvement"
29,"How to start a podcast","Learn how to start a podcast from scratch.","podcasting,online presence,video production"
30,"Top 5 tech gadgets for professionals","Discover the top 5 tech gadgets for professionals.","tech,gadgets,electronics"
